cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
,"$31,298",2 Ton 930 Kg,Jan 13 2017,D,super advanced,,"IN733305,IN733655",2.5 meters,100 cm,26 cm
,"$16,404",2 Ton 930 Kg,Jan 08 1999,D,intermediate,,"IN732151,IN732513",2.54 meters,99 cm,26 cm
$254k,"$880,043",3 Ton 140 Kg,Oct 05 2005,D,advanced,M14273,"IN732097,IN732503,IN733019,IN733614,IN733616,IN733615,IN732583",3.24 meters,91 cm,24 cm
$176k,"$524,989",3 Ton 80 Kg,Jul 20 2001,D,advanced,M14273,"IN732097,IN732503,IN733616,IN733615,IN732583",2.72 meters,98 cm,26 cm
,"$310,036",2 Ton 920 Kg,Jan 11 2008,C,basic,,,2.87 meters,93 cm,24 cm
,"$122,833",2 Ton 840 Kg,Nov 07 2008,D,advanced,"M14477,M14452",,2.47 meters,99 cm,26 cm
$411k,"$468,980",2 Ton 960 Kg,Aug 19 2011,C,intermediate,M14709,"IN732338,IN732073,IN732429,IN732121,IN732514,IN732549,IN732503,IN733332,IN733067",2.4 meters,102 cm,27 cm
$270k,"$183,330",3 Ton 440 Kg,Sep 22 2006,"Q,H",advanced,M14400,"IN733094,IN732742,IN732715,IN733098",2.95 meters,99 cm,26 cm
,"$4,936",,Jul 15 2015,H,super advanced,M14657,"IN733656,IN732217,IN732973,IN732605,IN732086,IN733029,IN733067,IN732384",nan meters,,
$285k,"$790,286",2 Ton 970 Kg,Apr 15 1998,"S,D",advanced,M14324,"IN732351,IN732440",2.59 meters,99 cm,26 cm
$443k,"$600,937",2 Ton 880 Kg,Apr 16 2003,"S,D",advanced,M14324,"IN732351,IN732440,IN732797,IN733657,IN732835,IN732456,IN732096,IN732794",2.42 meters,100 cm,26 cm
$103k,"$156,087",3 Ton 290 Kg,Aug 24 2001,"Q,H",super advanced,"M14540,M14541","IN732097,IN732657,IN732658,IN732101",3.07 meters,95 cm,25 cm
,"$106,188",3 Ton 120 Kg,Jan 15 1999,"U,A",super advanced,,"IN732074,IN732502",2.43 meters,104 cm,27 cm
$254k,"$168,846",3 Ton 310 Kg,Nov 26 1999,R,advanced,,"IN732165,IN732271,IN732975,IN732264",2.64 meters,103 cm,27 cm
,"$103,250",3 Ton 170 Kg,Oct 31 1997,"D,A",super advanced,M14414,IN732362,3.02 meters,94 cm,25 cm
$427k,"$202,054",3 Ton 460 Kg,May 11 2007,"F,A",super advanced,M14214,"IN732453,IN732466,IN733098,IN732142",3.12 meters,97 cm,25 cm
,"$302,169",3 Ton 60 Kg,Oct 08 1997,D,intermediate,M14314,IN732275,3.13 meters,91 cm,24 cm
,"$156,763",3 Ton 200 Kg,Jul 18 2008,U,super advanced,M14506,"IN732746,IN732743,IN732420,IN732281",2.67 meters,101 cm,26 cm
$81k,"$37,567",3 Ton 330 Kg,Jul 25 1997,"Q,H",super advanced,M14634,"IN732325,IN733572,IN732562,IN732473,IN732143,IN732458",3.05 meters,96 cm,25 cm
,"$229,199",3 Ton 210 Kg,Aug 11 2010,E,intermediate,M14608,,2.65 meters,101 cm,27 cm
$238k,"$109,106",3 Ton 20 Kg,Jun 02 2000,"D,R",advanced,,IN732403,2.61 meters,99 cm,26 cm
$29k,"$65,573",2 Ton 890 Kg,Jul 21 2017,D,intermediate,M14257,,2.87 meters,92 cm,24 cm
$56k,"$181,214",2 Ton 880 Kg,Mar 02 2012,"D,R",advanced,M14253,"IN732583,IN732335,IN732289,IN732430,IN732280,IN733658,IN733093,IN732956",2.89 meters,92 cm,24 cm
$113k,"$81,589",3 Ton 550 Kg,Sep 04 1998,"F,H",super advanced,M14196,"IN732093,IN732117,IN732252",2.91 meters,102 cm,27 cm
$285k,"$161,784",3 Ton 140 Kg,Oct 08 1999,B,intermediate,M14637,IN732101,2.72 meters,99 cm,26 cm
$106k,"$147,262",2 Ton 980 Kg,Apr 21 2017,D,super advanced,,"IN733505,IN732103,IN732214,IN733159,IN732824",2.77 meters,96 cm,25 cm
$66k,"$102,751",3 Ton 280 Kg,Sep 09 2009,H,super advanced,M14549,"IN732485,IN732509,IN732531,IN733066,IN732067",2.66 meters,102 cm,27 cm
$81k,"$117,253",3 Ton 240 Kg,Feb 27 2015,"T,H",intermediate,M14569,"IN732923,IN732161,IN733551,IN733612,IN732625,IN733659",2.7 meters,101 cm,26 cm
$97k,"$318,424",3 Ton 370 Kg,Sep 28 2005,"T,H",advanced,M14196,"IN732410,IN732525,IN732505,IN732498,IN732239,IN732188",2.75 meters,102 cm,27 cm
$97k,"$82,768",3 Ton 50 Kg,Jun 05 1998,"S,N",super advanced,M14334,IN732531,2.68 meters,98 cm,26 cm
,"$16,795",3 Ton 60 Kg,Feb 24 2006,"U,A",super advanced,M14126,"IN732454,IN732167",2.52 meters,101 cm,27 cm
$235k,"$1,058,437",2 Ton 910 Kg,Apr 22 2016,C,intermediate,M14467,"IN732139,IN732923,IN732845,IN732366,IN732637",2.37 meters,102 cm,27 cm
$323k,"$417,638",3 Ton 440 Kg,Apr 04 2003,"S,U",advanced,M14163,"IN732964,IN732682,IN732453,IN733290,IN732968,IN733246,IN732825",3.08 meters,97 cm,25 cm
,"$204,968",3 Ton 350 Kg,Nov 19 2004,"T,H",intermediate,M14649,"IN732164,IN732487",2.33 meters,110 cm,29 cm
$144k,"$27,597",3 Ton 660 Kg,Jul 10 2009,"V,H",super advanced,M14582,"IN732611,IN732157,IN732599,IN732066,IN732233,IN732363,IN733660",2.72 meters,107 cm,28 cm
$44k,"$196,571",3 Ton 90 Kg,Dec 28 2016,H,intermediate,M14729,"IN732803,IN732086,IN733279,IN732738,IN733087",2.44 meters,104 cm,27 cm
$270k,"$206,718",3 Ton 60 Kg,Jan 11 2013,K,intermediate,M14633,"IN732562,IN732389,IN733328,IN733661,IN733188",2.83 meters,96 cm,25 cm
,"$99,138",3 Ton 100 Kg,May 29 2009,N,super advanced,M14609,"IN732371,IN732160",2.58 meters,101 cm,26 cm
$144k,"$338,264",3 Ton 90 Kg,Oct 05 2001,"D,A",advanced,,"IN732139,IN732681,IN732387",2.44 meters,104 cm,27 cm
,"$155,016",3 Ton 70 Kg,Jan 05 2006,"D,A",advanced,,"IN732139,IN733561,IN733662,IN732394",2.48 meters,103 cm,27 cm
,"$16,992",2 Ton 900 Kg,Dec 25 2009,D,super advanced,M14730,"IN733663,IN733664",2.5 meters,99 cm,26 cm
$348k,"$276,800",3 Ton 270 Kg,Jul 14 2017,K,advanced,M14216,"IN732178,IN733254,IN733665,IN732366,IN732815,IN732316,IN732983,IN732094",2.84 meters,99 cm,26 cm
,,3 Ton 320 Kg,Sep 08 2017,"U,H",super advanced,M14382,"IN732331,IN732716,IN732809,IN732643,IN733666,IN732278",2.92 meters,98 cm,26 cm
$474k,"$615,462",3 Ton 300 Kg,May 13 2016,A,advanced,M14646,"IN733331,IN732682,IN732146,IN733383,IN732502,IN733055,IN733331",1.97 meters,119 cm,31 cm
$254k,"$571,290",3 Ton 100 Kg,Mar 05 1997,A,advanced,M14543,"IN732682,IN732282",2.39 meters,105 cm,27 cm
$474k,"$423,785",3 Ton 260 Kg,Feb 16 2007,A,advanced,M14731,"IN732682,IN732334,IN733055,IN732494,IN733226,IN732458,IN732675,IN732732,IN733383,IN733555,IN732119",2.19 meters,112 cm,29 cm
$395k,"$679,448",3 Ton 230 Kg,Mar 07 2001,A,advanced,M14362,"IN732682,IN733667,IN732113,IN733055,IN733604,IN732143,IN732457",2.91 meters,97 cm,25 cm
$317k,"$193,989",3 Ton 130 Kg,Dec 22 2000,"S,B",intermediate,M14543,"IN732442,IN732590",2.31 meters,107 cm,28 cm
,,3 Ton 30 Kg,Sep 06 2017,C,intermediate,"M14732,M14733","IN733668,IN732766,IN733144",2.55 meters,100 cm,26 cm
$18k,"$35,484",2 Ton 980 Kg,Feb 20 2015,D,intermediate,"M14734,M14735","IN733669,IN733176,IN733670,IN733671",2.7 meters,97 cm,25 cm
$207k,"$203,343",3 Ton 170 Kg,Oct 01 2004,"Q,H",advanced,M14486,"IN732562,IN732587,IN732064,IN732201,IN733462,IN732174,IN733672,IN732529,IN732608,IN732556",2.26 meters,109 cm,29 cm
$88k,"$131,562",2 Ton 950 Kg,Feb 24 2017,"U,H",super advanced,M14736,"IN733673,IN732746,IN733646,IN732179,IN732562,IN732174",2.55 meters,99 cm,26 cm
,"$131,280",2 Ton 950 Kg,Jun 05 1998,"D,A",super advanced,M14206,"IN732840,IN732484",3.06 meters,90 cm,24 cm
$160k,"$240,240",3 Ton 260 Kg,Jul 06 2012,"T,H",advanced,M14378,"IN732073,IN732121,IN732334,IN732919,IN732271,IN732954",2.43 meters,107 cm,28 cm
,"$54,342",2 Ton 810 Kg,Jan 29 2016,G,basic,,,2.48 meters,98 cm,26 cm
$238k,"$19,721",2 Ton 880 Kg,Dec 07 2001,"K,D",advanced,M14429,"IN732788,IN732171",2.73 meters,95 cm,25 cm
$138k,"$263,255",2 Ton 950 Kg,Feb 24 2006,D,advanced,M14136,"IN732582,IN733384,IN732648",2.81 meters,94 cm,25 cm
$28k,"$111,006",3 Ton 110 Kg,Oct 06 2004,"U,H",super advanced,M14737,"IN732101,IN732111",2.96 meters,94 cm,25 cm
$238k,"$234,131",2 Ton 910 Kg,May 04 2007,"J,B",intermediate,M14408,"IN732632,IN732890,IN732201,IN732874,IN732220,IN732495,IN733346,IN733228,IN733313",3.12 meters,89 cm,23 cm
$15k,"$100,968",3 Ton 110 Kg,Oct 09 2002,H,super advanced,M14551,"IN733214,IN732630,IN732700,IN732065",2.47 meters,103 cm,27 cm
$364k,"$806,568",2 Ton 900 Kg,Aug 16 2002,C,basic,"M14639,M14738,M14550","IN732563,IN732062,IN732266",2.75 meters,95 cm,25 cm
,"$109,668",2 Ton 900 Kg,Oct 02 2013,C,basic,,,2.34 meters,103 cm,27 cm
,"$846,213",3 Ton 70 Kg,Apr 04 2014,C,basic,M14739,"IN732563,IN732062,IN732632,IN732650,IN732390,IN732990,IN733405,IN733674,IN733159,IN733675,IN732089,IN732266,IN733676",2.74 meters,97 cm,26 cm
$552k,"$625,858",2 Ton 940 Kg,Jan 08 2010,C,intermediate,"M14591,M14710","IN732551,IN732213,IN732058,IN732875,IN732371,IN733575,IN733677,IN732107,IN732089,IN733332,IN733203",2.35 meters,103 cm,27 cm
$66k,"$75,562",3 Ton 90 Kg,Apr 13 2012,"D,R",intermediate,M14740,"IN733375,IN733202,IN732345,IN733074,IN733678,IN733336",3.05 meters,93 cm,24 cm
,,3 Ton 100 Kg,Aug 04 2017,H,super advanced,,"IN732142,IN733679",2.38 meters,105 cm,28 cm
$53k,"$145,700",2 Ton 930 Kg,Mar 08 2013,H,advanced,M14538,"IN732074,IN732847,IN732501,IN732436,IN732420,IN732807",2.11 meters,108 cm,28 cm
$28k,"$15,018",2 Ton 920 Kg,Jun 16 2017,"S,U",super advanced,M14741,"IN732069,IN732969,IN732359,IN732082,IN732715",2.57 meters,98 cm,26 cm
$128k,"$100,145",3 Ton 20 Kg,Aug 24 2011,D,advanced,M14742,"IN732203,IN733469,IN732592,IN732335,IN733275",2.57 meters,100 cm,26 cm
,"$115,588",2 Ton 910 Kg,Sep 04 1998,A,advanced,M14246,,2.72 meters,95 cm,25 cm
$191k,"$26,896",3 Ton 60 Kg,Nov 06 2015,"D,A",super advanced,M14583,"IN732130,IN732350,IN732304,IN732261,IN733140,IN732369,IN733469",2.68 meters,98 cm,26 cm
,"$22,799",2 Ton 990 Kg,Jul 24 1998,"D,A",super advanced,,"IN733186,IN732282",2.91 meters,93 cm,24 cm
$81k,"$104,798",3 Ton 180 Kg,Feb 10 2017,D,advanced,M14457,"IN732504,IN733680,IN732109,IN732170,IN733659,IN732309,IN732562,IN733141,IN733262",3.06 meters,94 cm,25 cm
$160k,"$183,004",3 Ton 270 Kg,Mar 01 2002,"P,P",advanced,M14274,"IN732684,IN732304,IN732640,IN732559",2.53 meters,105 cm,27 cm
$122k,"$197,237",2 Ton 970 Kg,Oct 02 1998,D,intermediate,M14743,IN732566,2.7 meters,97 cm,25 cm
$22k,"$30,491",2 Ton 970 Kg,Nov 08 2013,D,super advanced,"M14744,M14501,M14257,M14745,M14202,M14746,M14747,M14595,M14686,M14206","IN732700,IN732835,IN732500,IN732172,IN732663,IN732210,IN732545,IN733611,IN732685,IN732987,IN732850,IN732486,IN732603,IN733363,IN732526,IN733659,IN733146,IN733262,IN732919,IN732096,IN732794,IN732118,IN733681,IN733682,IN732748,IN733136,IN732415",2.37 meters,103 cm,27 cm
,"$262,119",3 Ton 430 Kg,Oct 11 1996,"P,H",intermediate,,"IN733593,IN732277,IN732595,IN732642",3.11 meters,97 cm,25 cm
,"$71,240",3 Ton 40 Kg,Jul 01 2005,"T,D",advanced,M14503,"IN732937,IN732701,IN732446,IN732677",2.59 meters,100 cm,26 cm
,"$107,340",2 Ton 900 Kg,Jun 06 2008,D,basic,,"IN733570,IN732337",2.75 meters,95 cm,25 cm
$66k,"$92,409",3 Ton 200 Kg,Mar 14 2008,U,super advanced,M14748,"IN732165,IN732777,IN732253,IN733102,IN733514,IN733683",2.46 meters,105 cm,28 cm
$160k,"$399,481",2 Ton 910 Kg,Apr 11 2003,D,advanced,M14501,"IN732217,IN732477,IN732599,IN732948,IN733285,IN732632,IN732219",2.22 meters,106 cm,28 cm
,"$262,119",3 Ton 430 Kg,Oct 11 1996,"P,H",intermediate,,"IN733593,IN732277,IN732595,IN732642",2.72 meters,103 cm,27 cm
,"$58,443",3 Ton 30 Kg,Apr 29 2016,"F,H",intermediate,M14499,"IN732412,IN732621",2.78 meters,96 cm,25 cm
$97k,"$70,065",2 Ton 880 Kg,Oct 08 1998,D,intermediate,,"IN732571,IN732086",2.59 meters,97 cm,25 cm
,"$103,443",2 Ton 930 Kg,Aug 29 2008,"K,H",basic,M14749,"IN732618,IN732654,IN733019",2.08 meters,109 cm,29 cm
$348k,"$588,111",3 Ton 150 Kg,Mar 24 2006,"D,A",advanced,M14514,"IN732073,IN732322,IN732589,IN732548,IN732363,IN732737,IN733226",2.55 meters,102 cm,27 cm
,"$42,670",2 Ton 870 Kg,Jan 01 1999,A,advanced,,IN732638,2.53 meters,98 cm,26 cm
$458k,"$353,026",2 Ton 900 Kg,Dec 19 2014,C,intermediate,M14750,"IN732858,IN733677,IN733684,IN732794,IN732306,IN733551,IN732104,IN733485,IN732366",2.97 meters,91 cm,24 cm
$176k,"$217,052",2 Ton 950 Kg,Mar 30 2012,"J,D",intermediate,M14283,"IN732267,IN732532,IN732724",2.54 meters,99 cm,26 cm
,"$83,770",2 Ton 870 Kg,Jun 27 2008,D,advanced,M14569,"IN732630,IN732545,IN732464,IN732521,IN733685,IN732646,IN733069",2.53 meters,98 cm,26 cm
,"$43,010",2 Ton 970 Kg,Nov 29 1996,"D,R",advanced,M14751,"IN733179,IN732557",2.9 meters,93 cm,24 cm
,"$34,392",3 Ton 60 Kg,Jan 31 1997,"D,R",advanced,M14752,"IN732788,IN733686,IN732806",2.6 meters,100 cm,26 cm
,"$70,546",3 Ton 300 Kg,Feb 07 2014,H,advanced,M14753,"IN733687,IN732368,IN732854,IN732551,IN732243",3.04 meters,96 cm,25 cm
,"$381,658",2 Ton 880 Kg,Apr 02 1999,C,basic,M14754,IN732362,2.44 meters,100 cm,26 cm
,"$38,929",3 Ton 70 Kg,Feb 07 1997,"F,U",super advanced,M14225,"IN732382,IN733688,IN733152,IN732883,IN733689,IN732071,IN732246,IN732645",2.38 meters,105 cm,27 cm
,"$68,927",3 Ton 160 Kg,May 02 1997,"S,D",advanced,M14242,"IN732845,IN733336",2.78 meters,98 cm,26 cm
,"$17,030",3 Ton 120 Kg,Jul 07 2000,D,super advanced,M14498,"IN732208,IN732361",2.45 meters,104 cm,27 cm
$223k,"$151,641",3 Ton 640 Kg,Oct 06 2006,"U,H",super advanced,M14163,"IN733642,IN732853,IN732982,IN733245,IN732523",2.92 meters,103 cm,27 cm
,"$110,561",2 Ton 990 Kg,Nov 29 1996,"J,B",basic,M14755,,2.55 meters,100 cm,26 cm
$160k,"$163,515",3 Ton 120 Kg,Jan 02 2015,"J,D",intermediate,M14215,"IN733269,IN732858,IN732429,IN733144",2.82 meters,97 cm,25 cm
$78k,"$54,950",2 Ton 880 Kg,Apr 26 2000,"J,D",basic,M14227,"IN732386,IN732219",2.03 meters,110 cm,29 cm
,"$83,786",3 Ton 80 Kg,Jan 30 1998,"U,A",super advanced,M14756,"IN732871,IN732753,IN732926",2.81 meters,96 cm,25 cm
$160k,"$103,079",3 Ton 200 Kg,Jan 31 2003,U,super advanced,M14308,"IN732139,IN733086",2.34 meters,108 cm,28 cm
,"$161,597",2 Ton 960 Kg,Nov 28 2007,"D,R",advanced,M14757,"IN732403,IN732218",2.31 meters,104 cm,27 cm
$88k,"$49,400",3 Ton 230 Kg,Aug 11 2000,"P,H",intermediate,M14441,"IN732257,IN732446",2.93 meters,97 cm,25 cm
$97k,"$140,618",2 Ton 980 Kg,May 12 2006,"D,R",advanced,,"IN732753,IN732093,IN733690",2.69 meters,97 cm,25 cm
,"$9,774",3 Ton 180 Kg,Aug 26 2016,H,intermediate,M14758,"IN733691,IN733692,IN732616,IN733693,IN733694,IN733695,IN733696",2.67 meters,100 cm,26 cm
$40k,"$58,228",2 Ton 860 Kg,Oct 22 2004,D,advanced,,,2.66 meters,96 cm,25 cm
$66k,"$63,097",3 Ton 10 Kg,Jul 03 2009,"D,R",super advanced,M14759,"IN733102,IN732109,IN732541,IN732502",3.12 meters,90 cm,24 cm
$122k,"$402,078",3 Ton 50 Kg,Apr 03 1998,"D,R",advanced,M14423,"IN732562,IN732671,IN732305,IN732316,IN732082",3.12 meters,91 cm,24 cm
$18k,"$761,219",2 Ton 950 Kg,Jan 31 2003,"D,R",intermediate,,"IN733697,IN733064",2.38 meters,102 cm,27 cm
,"$190,239",2 Ton 940 Kg,Jan 06 2017,D,advanced,M14528,"IN733697,IN733698,IN733064,IN733598",2.6 meters,98 cm,26 cm
$50k,"$164,655",3 Ton 10 Kg,Oct 30 2009,N,super advanced,M14493,,2.41 meters,103 cm,27 cm
$47k,"$51,572",2 Ton 860 Kg,Jun 04 2004,D,advanced,M14237,IN732310,2.85 meters,92 cm,24 cm
$22k,"$109,955",2 Ton 950 Kg,Oct 27 2000,J,intermediate,M14673,"IN732444,IN732753,IN732196,IN732776",2.4 meters,102 cm,27 cm
$207k,"$118,486",2 Ton 800 Kg,Nov 26 1999,"S,D",intermediate,,,2.64 meters,95 cm,25 cm
,"$72,817",3 Ton 10 Kg,Oct 03 1997,D,advanced,M14156,"IN733699,IN732664,IN732994",3.07 meters,91 cm,24 cm
,"$28,077",3 Ton 40 Kg,Jan 22 1999,D,intermediate,M14151,IN732563,2.81 meters,96 cm,25 cm
,"$29,941",2 Ton 980 Kg,Mar 19 2010,D,advanced,M14760,"IN733577,IN733593,IN733064",2.62 meters,98 cm,26 cm
$97k,"$157,285",3 Ton 60 Kg,Apr 09 2010,H,advanced,M14226,"IN732305,IN732674,IN732502,IN733700,IN733362,IN732344",2.43 meters,103 cm,27 cm
$81k,"$49,039",3 Ton 70 Kg,Jul 22 2011,N,super advanced,M14441,IN732988,2.57 meters,101 cm,26 cm
,"$73,499",2 Ton 950 Kg,May 04 2007,"K,D",advanced,M14495,"IN732748,IN732196,IN732518",2.37 meters,103 cm,27 cm
,"$48,587",2 Ton 990 Kg,Sep 05 2012,H,super advanced,,"IN733247,IN733445,IN732408,IN732360,IN733667,IN733446,IN732983",2.47 meters,101 cm,27 cm
$91k,"$30,652",3 Ton 190 Kg,Jul 14 2000,"T,D",super advanced,M14273,IN732189,2.14 meters,112 cm,29 cm
$216k,"$96,218",3 Ton 220 Kg,May 19 2000,"K,D",intermediate,,"IN732503,IN733245,IN732277,IN732837,IN732565,IN732656",2.46 meters,105 cm,28 cm
$81k,"$285,886",3 Ton 380 Kg,Jul 21 2004,"F,H",super advanced,M14196,"IN732485,IN732590,IN732119,IN732776,IN732412,IN732774",3.03 meters,97 cm,25 cm
$113k,"$254,668",3 Ton 0 Kg,Mar 30 2007,"T,D",intermediate,,IN732591,2.83 meters,95 cm,25 cm
,"$83,182",2 Ton 990 Kg,Mar 28 2008,"J,B",intermediate,M14475,"IN732568,IN732988,IN732609,IN733641,IN733701,IN733702,IN732074,IN732262",2.34 meters,104 cm,27 cm
$81k,"$150,826",2 Ton 980 Kg,Nov 10 2006,J,intermediate,M14528,"IN732384,IN732269,IN733703,IN732653",2.36 meters,103 cm,27 cm
$113k,"$93,860",3 Ton 0 Kg,Jun 03 2011,J,intermediate,M14761,"IN732384,IN732201,IN733035,IN732786,IN732472,IN732304",3.06 meters,91 cm,24 cm
$4k,"$142,648",2 Ton 860 Kg,Mar 25 2005,D,intermediate,,IN732874,2.7 meters,95 cm,25 cm
$23k,"$35,597",3 Ton 20 Kg,Oct 03 2003,"F,A",super advanced,M14762,,2.09 meters,111 cm,29 cm
,"$4,374",2 Ton 870 Kg,Jul 01 2005,D,advanced,,,2.5 meters,99 cm,26 cm
$18k,"$69,651",2 Ton 920 Kg,Jan 17 2003,D,super advanced,M14763,"IN732433,IN732544,IN732312",2.75 meters,95 cm,25 cm
,"$16,229",2 Ton 950 Kg,Sep 14 2007,D,super advanced,,IN732312,2.62 meters,98 cm,26 cm
,"$117,013",2 Ton 900 Kg,Oct 31 2003,"D,A",advanced,M14313,IN732357,2.94 meters,91 cm,24 cm
$317k,"$546,242",3 Ton 310 Kg,Sep 02 2005,B,intermediate,M14478,"IN732231,IN733533,IN732227,IN733188,IN732282,IN733366,IN732248",2.95 meters,98 cm,26 cm
,"$693,756",3 Ton 240 Kg,Oct 03 2008,B,intermediate,M14478,"IN732231,IN732227,IN733533,IN732282,IN732650,IN732260,IN733366,IN732241,IN732858",2.94 meters,97 cm,25 cm
$40k,"$58,183",3 Ton 100 Kg,Aug 29 2014,"D,H",super advanced,M14191,"IN733624,IN732636,IN733704",2.4 meters,105 cm,27 cm
$210k,"$139,621",3 Ton 300 Kg,Dec 26 2014,A,advanced,M14199,"IN732996,IN732150,IN732408,IN733705,IN732845,IN732860",2.66 meters,103 cm,27 cm
$59k,"$474,452",2 Ton 960 Kg,Feb 20 2015,D,super advanced,M14562,"IN732213,IN732145,IN732103,IN732124,IN733363,IN733706,IN733707",2.34 meters,104 cm,27 cm
,"$176,938",2 Ton 910 Kg,Mar 03 2017,D,super advanced,M14562,"IN732103,IN732145,IN732213,IN732210",2.58 meters,98 cm,26 cm
,"$123,932",2 Ton 960 Kg,May 10 2017,U,advanced,"M14764,M14765","IN732124,IN732568",2.75 meters,96 cm,25 cm
$66k,"$80,790",3 Ton 100 Kg,Dec 26 2008,"H,A",advanced,M14439,"IN733708,IN732198,IN732945,IN732569",2.4 meters,105 cm,27 cm
$81k,"$176,997",3 Ton 70 Kg,Jan 21 2000,"D,R",advanced,M14312,"IN732218,IN732698,IN732067",2.18 meters,109 cm,29 cm
,"$20,454",2 Ton 880 Kg,Jan 07 2005,"F,H",super advanced,M14345,IN732157,2.06 meters,109 cm,29 cm
$179k,"$174,075",3 Ton 170 Kg,Sep 21 2012,"D,R",advanced,M14457,"IN732315,IN732103,IN732097,IN732700,IN732268,IN732534,IN732873,IN733496,IN732532,IN733535,IN732136,IN733096,IN732838,IN732310,IN733605,IN733156,IN732674,IN733611,IN732525,IN732155,IN733709",2.38 meters,106 cm,28 cm
$97k,"$46,925",2 Ton 860 Kg,Feb 18 2005,"J,D",intermediate,,IN732771,2.61 meters,96 cm,25 cm
,"$55,291",2 Ton 960 Kg,Nov 13 2009,"D,R",intermediate,,"IN732619,IN733180",2.8 meters,95 cm,25 cm
,"$59,930",2 Ton 960 Kg,Feb 08 2008,"S,U",advanced,M14225,"IN732231,IN732581,IN732873",2.71 meters,96 cm,25 cm
,"$34,219",2 Ton 840 Kg,Feb 19 2010,"D,A",super advanced,M14766,"IN733710,IN732102,IN733305",2.32 meters,102 cm,27 cm
$37k,"$182,821",2 Ton 980 Kg,Oct 25 2000,D,super advanced,M14257,IN732126,2.89 meters,93 cm,25 cm
$34k,"$101,639",2 Ton 900 Kg,Jul 17 2009,H,advanced,,"IN733043,IN733060,IN732826,IN732498",2.37 meters,102 cm,27 cm
,"$33,788",3 Ton 130 Kg,Feb 27 1998,"F,H",super advanced,M14767,"IN732805,IN733593,IN732699,IN732308,IN732233",2.7 meters,99 cm,26 cm
,"$790,828",3 Ton 80 Kg,Oct 05 2007,"J,B",intermediate,M14319,"IN732503,IN732532,IN733711,IN733712,IN733713,IN733269,IN732254,IN732637,IN732583",2.32 meters,106 cm,28 cm
$474k,"$559,546",3 Ton 50 Kg,Mar 05 2010,"J,B",intermediate,M14319,"IN733714,IN732503,IN732535,IN732583,IN732565,IN732254,IN733345,IN732637,IN733269,IN732432,IN732121,IN732498,IN733147",2.6 meters,100 cm,26 cm
$402k,"$360,064",2 Ton 970 Kg,Oct 02 2015,"J,B",intermediate,M14319,"IN732380,IN732503,IN732254,IN732583,IN732924,IN732255,IN733711,IN732637,IN733269",2.73 meters,96 cm,25 cm
$29k,"$104,447",3 Ton 170 Kg,Aug 14 2015,"F,H",super advanced,M14768,"IN732929,IN732161,IN732833,IN733557",3.24 meters,91 cm,24 cm
,"$134,196",2 Ton 970 Kg,Jul 10 2009,R,advanced,,"IN732753,IN732526,IN732204,IN732612",3.36 meters,87 cm,23 cm
$119k,"$153,536",2 Ton 950 Kg,Jan 16 2009,"J,B",intermediate,,"IN732600,IN732674,IN732172",2.16 meters,108 cm,28 cm
$254k,"$64,535",3 Ton 100 Kg,Oct 01 2010,H,advanced,M14400,"IN733380,IN732109,IN732490,IN732684,IN732983,IN732289,IN733715,IN733422",2.5 meters,102 cm,27 cm
,"$64,608",2 Ton 870 Kg,May 19 2017,D,intermediate,M14324,"IN732086,IN733716,IN732117,IN732566",2.7 meters,95 cm,25 cm
$128k,"$122,485",2 Ton 990 Kg,Sep 08 2010,A,super advanced,M14769,IN732142,2.66 meters,98 cm,26 cm
,"$13,329",2 Ton 880 Kg,May 22 2013,"T,D",advanced,,,2.78 meters,94 cm,25 cm
$141k,"$45,701",4 Ton 120 Kg,Oct 04 1996,"U,H",super advanced,M14211,"IN732457,IN733129,IN733350,IN732260,IN733192,IN733717,IN732972,IN733718,IN733719,IN733242,IN733720,IN732572",3.07 meters,107 cm,28 cm
,"$236,087",3 Ton 220 Kg,Aug 22 2008,"F,H",super advanced,"M14373,M14374","IN732351,IN733052,IN732531,IN732112",2.72 meters,100 cm,26 cm
,"$88,449",3 Ton 10 Kg,Jun 08 2016,A,super advanced,M14266,"IN732583,IN732441,IN733551",2.5 meters,101 cm,26 cm
$44k,"$167,789",2 Ton 840 Kg,Jun 26 2015,U,advanced,M14770,"IN732149,IN732711,IN733681",2.09 meters,107 cm,28 cm
,"$138,146",3 Ton 50 Kg,May 09 2008,"D,R",intermediate,M14602,"IN732564,IN732616,IN732674,IN732487,IN733721,IN733414,IN733722",2.84 meters,95 cm,25 cm
$81k,"$224,710",3 Ton 100 Kg,Nov 04 2011,D,super advanced,M14495,"IN732310,IN732618,IN732314,IN732268,IN732651,IN733551,IN733221,IN732155,IN732128,IN733147",2.46 meters,103 cm,27 cm
$395k,"$320,648",3 Ton 380 Kg,Jan 09 2015,H,advanced,M14332,"IN732189,IN732246,IN733445,IN732457,IN732194,IN732802,IN732382,IN733495,IN733213",2.67 meters,104 cm,27 cm
,"$4,416",3 Ton 100 Kg,Sep 18 2009,"F,U",super advanced,,"IN732473,IN732917,IN733034,IN732557,IN733242,IN733723,IN732617",2.28 meters,107 cm,28 cm
